lead_id,created_at,raw_text,label
114,2025-11-11,"Can you provide pricing for 500 seats? Decision this month.",1
115,2025-10-24,"Looking for a partner on a small project. Low budget.",0
116,2025-10-13,"Need migration estimates and data import support. Budget set.",1
117,2025-09-15,"We plan a rollout next year; gathering options now.",0
118,2025-08-06,"We need analytics, retention, and SSO. Budget $40k.",1
119,2025-07-05,"Looking for documentation and demo; timeline unclear.",0
120,2025-06-14,"We require enterprise collaboration and file sync. Decision in 3 weeks.",1
121,2025-05-01,"Small company, evaluating low-cost options.",0
122,2025-04-14,"We need guaranteed uptime and support. Budget approved.",1
123,2025-03-03,"We want to compare features across vendors. Not ready.",0
124,2025-02-06,"We are procuring tools for 2026 roadmap. Interested in pilot.",0
125,2025-01-12,"We are ready to switch platforms this quarter. Need quotation.",1
126,2025-11-12,"We need integration with our billing system. Timeline urgent.",1
127,2025-10-17,"Interested but no funds allocated yet.",0
128,2025-09-06,"We require encryption-at-rest and compliance. Budget set.",1
129,2025-08-01,"Requesting brochure and pricing. Low intent.",0
130,2025-07-18,"We want a demo and PoC for our sales team. Budget allocated.",1
131,2025-06-06,"Exploring vendors for later adoption. No current budget.",0
132,2025-05-16,"We need onboarding and migration by Q3. Budget approved.",1
133,2025-04-04,"Small pilot interest. Might buy after PoC.",0
134,2025-03-07,"Procurement ready. Need SLA and pricing for 250 users.",1
135,2025-02-01,"Interested in community features. No timeline.",0
136,2025-01-03,"We have funds for enterprise tools. Send a proposal.",1
137,2025-11-13,"We need vendor references and security docs. We'll proceed if OK.",1
138,2025-10-09,"Asking about feature parity. Not urgent.",0
139,2025-09-01,"We need a solution within 4 weeks. Budget available.",1
140,2025-08-11,"Testing free tiers across vendors. No purchase yet.",0
141,2025-07-02,"We require advanced reporting and integrations. Proposal requested.",1
142,2025-06-02,"We're early-stage and low budget. Collecting options.",0
143,2025-05-04,"Need vendor to support scale for 1M users. Budget allocated.",1
144,2025-04-08,"General info request—no decision yet.",0
145,2025-03-14,"Ready to sign a contract if support and compliance are verified.",1
146,2025-02-10,"Curious about onboarding; may consider later.",0
147,2025-01-18,"We need a feature comparison and pricing for enterprise plan.",1
148,2025-11-14,"We have a $25k budget for CRM integrations. Need proposal.",1
149,2025-10-01,"Looking for consulting services. No purchase timeline.",0
150,2025-09-05,"We want a full migration and data import service. Budget approved.",1
151,2025-08-16,"Interested in sandbox access. Will decide later.",0
152,2025-07-10,"We want to integrate your lead capture; can start next week.",1
153,2025-06-24,"We need multi-region support and compliance. Budget set.",1
154,2025-05-06,"Looking for pricing tiers, no urgency.",0
155,2025-04-18,"We need staging environment and SSO. Procurement next quarter.",0
156,2025-03-01,"We can allocate budget for enterprise plan. Need quotes.",1
157,2025-02-20,"Exploring features for roadmap. Not ready to buy.",0
158,2025-01-06,"We have an RFP and need your response by next week. Budget available.",1
159,2025-11-15,"We plan a company-wide rollout. Need pricing and migration schedule.",1
160,2025-10-06,"Curious about integrations. Small team.",0
161,2025-09-12,"We need an enterprise contract and training. Ready to proceed.",1
162,2025-08-03,"We want to schedule an architecture review. Budget available.",1
163,2025-07-26,"Requesting trial for 2 weeks. Possibly later purchase.",0
164,2025-06-08,"Ready to pilot lead scoring for 3 months. Budget allocated.",1
165,2025-05-20,"Asking for documentation. No immediate plans.",0
166,2025-04-02,"We are consolidating vendors and want a procurement quote.",1
167,2025-03-09,"Looking for a partner for 6-month pilot. Decision soon.",1
168,2025-02-04,"Just comparing features for now.",0
169,2025-01-02,"We need SLA and 24/7 support. Procurement next week.",1
170,2025-11-16,"We have an approved budget for CRM migration. Contact procurement.",1
171,2025-10-02,"Interest in feature set; no budget yet.",0
172,2025-09-20,"We require enterprise-grade encryption and audit logs. Budget set.",1
173,2025-08-07,"Requesting brochures. Low priority.",0
174,2025-07-06,"We need dedicated support and onboarding. Ready to sign.",1
175,2025-06-20,"Exploring cheap SaaS options. No immediate purchase.",0
176,2025-05-12,"We want to trial lead routing and scoring. Budget confirmed.",1
177,2025-04-26,"Please send compliance documents and pricing. Decision in 2 weeks.",1
178,2025-03-01,"Small trial interest. No budget yet.",0
179,2025-02-08,"We need pricing for 120 seats. Procurement this month.",1
180,2025-01-09,"Looking for longterm partner for CRM. Budget available.",1
181,2025-11-05,"We want to pilot with one team for 60 days. Budget small.",0
182,2025-10-04,"Need to confirm data residency options. May proceed.",0
183,2025-09-03,"We require high-availability cluster support. Budget approved.",1
184,2025-08-13,"Curious about free tier limits. Not ready to buy.",0
185,2025-07-03,"We need enterprise reporting and integrations. Quotes requested.",1
186,2025-06-04,"General info needed for internal review.",0
187,2025-05-14,"We have funds and want a demo this week. Decision-maker present.",1
188,2025-04-07,"Exploring options for integration partners. No commitment.",0
189,2025-03-16,"We want to migrate 400 users in Q1. Need a plan and quote.",1
190,2025-02-16,"Interested in analytics and routing. Budget TBD.",0
191,2025-01-15,"We need a fast implementation; procurement approved.",1
192,2025-11-01,"Looking at multiple vendors for later adoption.",0
193,2025-10-08,"We need a quote for 200 seats. Decision within 2 weeks.",1
194,2025-09-07,"Asking about SLAs and uptime. May decide later.",0
195,2025-08-20,"We need custom reporting and analytics. Budget available.",1
196,2025-07-08,"Requesting demo video. No immediate budget.",0
197,2025-06-07,"We need vendor references and PCI compliance. Ready to proceed.",1
198,2025-05-01,"We want to evaluate options for next fiscal year. No immediate buy.",0
199,2025-04-01,"We have an urgent need for lead routing. Budget allocated.",1
200,2025-03-01,"Exploratory email—may revisit later.",0

